seq,latitude,longitude,x,y,option
2157,37.2890977,127.1069325,332193.944355961,4128623.53914066,0
2160,37.2890942,127.1069293,332193.652896245,4128623.15647899,0
2163,37.2890906,127.1069264,332193.387809645,4128622.76218928,0
2166,37.289087,127.1069235,332193.122723018,4128622.36789957,0
2169,37.2890834,127.1069207,332192.866501478,4128621.97343236,0
2172,37.2890799,127.1069179,332192.610502096,4128621.59006064,0
2175,37.2890763,127.1069153,332192.372010725,4128621.1952384,0
2178,37.2890727,127.1069128,332192.142384443,4128620.80023865,0
2181,37.289069,127.1069104,332191.921401068,4128620.39396589,0
2184,37.2890653,127.1069079,332191.691552563,4128619.98787066,0
2187,37.2890617,127.1069055,332191.470791329,4128619.5926934,0
2190,37.289058,127.106903,332191.240942782,4128619.18659818,0
2193,37.2890542,127.1069007,332191.028602253,4128618.76905242,0
2196,37.2890505,127.1068984,332190.816483887,4128618.36260217,0
2199,37.2890466,127.1068963,332190.621651358,4128617.93360589,0
2202,37.2890427,127.1068943,332190.435683923,4128617.50443209,0
2205,37.2890388,127.1068923,332190.249716472,4128617.0752583,0
2208,37.2890349,127.1068903,332190.063749002,4128616.64608451,0
2211,37.289031,127.1068883,332189.877781514,4128616.21691073,0
2214,37.2890271,127.1068863,332189.691814011,4128615.78773695,0
2217,37.2890232,127.1068845,332189.523576717,4128615.35820813,0
2220,37.2890193,127.1068827,332189.35533941,4128614.92867931,0
2223,37.2890153,127.106881,332189.195745017,4128614.48787748,0
2226,37.2890113,127.1068794,332189.045015723,4128614.04689812,0
2229,37.2890073,127.106878,332188.91201665,4128613.60556373,0
2232,37.2890031,127.1068769,332188.805168544,4128613.14150578,0
2235,37.2889991,127.1068762,332188.734225271,4128612.69892872,0
2238,37.2889949,127.1068758,332188.689432977,4128612.23362812,0
2241,37.2889908,127.1068758,332188.68032334,4128611.77871291,0
2244,37.2889866,127.106876,332188.688721756,4128611.31234716,0
2247,37.2889824,127.1068768,332188.750310894,4128610.84491627,0
2250,37.2889784,127.1068777,332188.821209534,4128610.39949885,0
2253,37.2889742,127.1068789,332188.918259173,4128609.93135787,0
2256,37.2889702,127.1068802,332189.024618316,4128609.48523036,0
2259,37.2889661,127.1068816,332189.139620409,4128609.02782984,0
2262,37.2889622,127.1068834,332189.290527377,4128608.59191021,0
2265,37.2889583,127.1068854,332189.459164605,4128608.15563554,0
2268,37.2889545,127.1068875,332189.636889161,4128607.73027885,0
2271,37.2889509,127.1068899,332189.841653476,4128607.32658058,0
2274,37.2889473,127.1068923,332190.046417812,4128606.92288232,0
2277,37.2889438,127.106895,332190.277999724,4128606.52974699,0
2280,37.2889403,127.1068977,332190.50958166,4128606.13661167,0
2283,37.2889369,127.1069008,332190.776846303,4128605.75386177,0
2286,37.2889337,127.1069039,332191.044555336,4128605.39330286,0
2289,37.2889303,127.1069072,332191.329550278,4128605.01019794,0
2292,37.2889271,127.1069106,332191.623854739,4128604.64910649,0
2295,37.2889241,127.1069143,332191.94519897,4128604.30967348,0
2298,37.2889211,127.1069181,332192.275408349,4128603.97006297,0
2301,37.2889182,127.1069219,332192.605839941,4128603.64154796,0
2304,37.2889153,127.1069257,332192.936271556,4128603.31303296,0
2307,37.2889122,127.1069294,332193.257393711,4128602.96250452,0
2310,37.2889092,127.106933,332193.569872944,4128602.62324909,0
2313,37.2889062,127.1069364,332193.864621946,4128602.28434872,0
2316,37.288903,127.10694,332194.176656873,4128601.92290233,0
2319,37.2889004,127.1069438,332194.507755152,4128601.62767388,0
2322,37.2888982,127.1069482,332194.892932943,4128601.37576232,0
2325,37.288897,127.1069528,332195.298062784,4128601.23445067,0
2328,37.288896,127.1069576,332195.721367248,4128601.114975,0
2331,37.2888955,127.1069626,332196.163512861,4128601.05062178,0
2334,37.2888952,127.1069677,332196.614967962,4128601.00828205,0
2337,37.2888947,127.1069728,332197.065978715,4128600.94375136,0
2340,37.2888944,127.106978,332197.526298951,4128600.90123417,0
2343,37.2888941,127.1069834,332198.004349452,4128600.85836198,0
2346,37.288894,127.1069888,332198.482844299,4128600.83768081,0
2349,37.2888943,127.106994,332198.944497577,4128600.86173665,0
2352,37.2888949,127.1069993,332199.415682492,4128600.91890148,0
2355,37.2888959,127.1070043,332199.861160696,4128601.02098085,0
2358,37.2888971,127.1070092,332200.298218096,4128601.14542873,0
