seq,latitude,longitude,x,y,option
9157,35.9123278,128.8065036,482541.336793079,3974241.6876646,0
9160,35.9123256,128.806499,482540.921263514,3974241.44447773,0
9163,35.9123234,128.8064947,482540.532802156,3974241.20123727,0
9166,35.9123211,128.8064905,482540.153341551,3974240.94688763,0
9169,35.9123188,128.8064864,482539.782903666,3974240.69252013,0
9172,35.9123169,128.8064824,482539.421576398,3974240.48250005,0
9175,35.9123145,128.8064777,482538.996980029,3974240.21714851,0
9178,35.9123122,128.8064737,482538.635564827,3974239.96276318,0
9181,35.9123101,128.8064695,482538.25614806,3974239.73059626,0
9184,35.9123077,128.8064653,482537.876665349,3974239.4651554,0
9187,35.9123052,128.8064612,482537.506183387,3974239.18860536,0
9190,35.9123029,128.8064569,482537.117699859,3974238.93427372,0
9193,35.9123002,128.8064531,482536.774242139,3974238.63548744,0
9196,35.9122978,128.806449,482536.403782083,3974238.37002877,0
9199,35.9122951,128.8064448,482536.024233326,3974238.07131403,0
9202,35.9122926,128.8064408,482535.662773995,3974237.79474618,0
9205,35.9122902,128.8064369,482535.310359367,3974237.5292518,0
9208,35.9122875,128.8064329,482534.948856035,3974237.23050134,0
9211,35.9122846,128.8064292,482534.614376966,3974236.90951463,0
9214,35.9122819,128.8064258,482534.307010077,3974236.61065693,0
9217,35.9122789,128.8064223,482533.990554481,3974236.27854316,0
9220,35.9122759,128.8064187,482533.665076108,3974235.94644728,0
9223,35.912273,128.8064151,482533.339619691,3974235.62544273,0
9226,35.91227,128.8064117,482533.032186774,3974235.29331112,0
9229,35.9122659,128.806408,482532.697443787,3974234.83922865,0
9232,35.912263,128.8064048,482532.408078299,3974234.51815261,0
9235,35.9122597,128.8064013,482532.091556611,3974234.15276495,0
9238,35.9122566,128.8063979,482531.784101611,3974233.80954206,0
9241,35.9122533,128.8063946,482531.485625374,3974233.44411866,0
9244,35.9122499,128.8063913,482531.187127129,3974233.06760395,0
9247,35.9122468,128.8063879,482530.879672056,3974232.72438109,0
9250,35.9122438,128.8063846,482530.581261696,3974232.39223167,0
9253,35.9122406,128.8063811,482530.264761838,3974232.0379354,0
9256,35.9122374,128.8063776,482529.948261955,3974231.68363914,0
9259,35.9122341,128.8063745,482529.66783108,3974231.31818003,0
9262,35.9122309,128.8063711,482529.360353902,3974230.9638659,0
9265,35.9122278,128.8063679,482529.070944195,3974230.62060734,0
9268,35.9122246,128.8063646,482528.772489723,3974230.26627535,0
9271,35.9122214,128.8063615,482528.492080739,3974229.9119076,0
9274,35.9122182,128.8063582,482528.193626223,3974229.55757563,0
9277,35.9122149,128.8063551,482527.913195206,3974229.19211658,0
9280,35.9122117,128.8063518,482527.61474064,3974228.83778463,0
9283,35.9122083,128.8063485,482527.316242074,3974228.46127005,0
9286,35.9122052,128.8063453,482527.026832207,3974228.11801155,0
9289,35.9122019,128.8063422,482526.746401096,3974227.75255253,0
9292,35.9121988,128.8063387,482526.42992291,3974227.40934772,0
9295,35.9121959,128.8063353,482526.122511434,3974227.08830767,0
9298,35.9121927,128.8063318,482525.806011205,3974226.73401156,0
9301,35.9121896,128.8063284,482525.498555702,3974226.39078888,0
9304,35.9121867,128.8063251,482525.200166917,3974226.06973097,0
9307,35.9121836,128.8063219,482524.910756889,3974225.72647255,0
9310,35.9121807,128.8063185,482524.603345302,3974225.40543255,0
9313,35.9121778,128.8063153,482524.31397921,3974225.08435677,0
9316,35.9121748,128.806312,482524.015568345,3974224.75220759,0
9319,35.9121717,128.8063087,482523.717135465,3974224.40896709,0
9322,35.9121687,128.8063055,482523.427747319,3974224.07680003,0
9325,35.9121658,128.8063023,482523.138381141,3974223.7557243,0
9328,35.912163,128.8062993,482522.867082463,3974223.44570411,0
9331,35.9121602,128.8062964,482522.604806526,3974223.13566604,0
9334,35.9121574,128.8062934,482522.333507807,3974222.82564587,0
9337,35.9121545,128.8062903,482522.053164314,3974222.50455229,0
9340,35.9121514,128.8062872,482521.772776809,3974222.16127607,0
9343,35.9121484,128.806284,482521.483388516,3974221.82910907,0
9346,35.9121453,128.806281,482521.212023729,3974221.48581498,0
9349,35.9121424,128.8062778,482520.922657388,3974221.16473932,0
9352,35.9121395,128.8062748,482520.651336554,3974220.84362789,0
9355,35.9121366,128.8062718,482520.380015702,3974220.52251646,0
9358,35.9121337,128.8062688,482520.108694831,3974220.20140504,0
9361,35.9121309,128.8062658,482519.837395935,3974219.89138495,0
9364,35.912128,128.8062627,482519.557052256,3974219.57029144,0
9367,35.912125,128.8062596,482519.276686561,3974219.23810662,0
9370,35.9121219,128.8062563,482518.97825331,3974218.89486629,0
9373,35.9121187,128.8062531,482518.688820805,3974218.54051675,0
9376,35.9121157,128.80625,482518.408455044,3974218.20833196,0
9379,35.9121128,128.806247,482518.137134028,3974217.8872206,0
9382,35.9121099,128.8062441,482517.87483576,3974217.56609135,0
9385,35.912107,128.806241,482517.594491938,3974217.24499791,0
9388,35.912104,128.8062379,482517.314126093,3974216.91281315,0
9391,35.9121007,128.8062347,482517.024671458,3974216.54737235,0
9394,35.9120974,128.8062313,482516.717171257,3974216.18196735,0
9397,35.912094,128.8062281,482516.427694569,3974215.80543525,0
9400,35.9120908,128.8062248,482516.12923909,3974215.45110369,0
9403,35.9120876,128.8062215,482515.830783586,3974215.09677214,0
9406,35.9120846,128.8062184,482515.550417609,3974214.76458745,0
9409,35.9120814,128.8062154,482515.279030374,3974214.41020222,0
9412,35.9120785,128.8062123,482514.998686358,3974214.08910886,0
9415,35.9120755,128.8062093,482514.727343089,3974213.75690629,0
9418,35.9120726,128.8062064,482514.465044575,3974213.43577715,0
9421,35.9120696,128.8062033,482514.184678491,3974213.10359249,0
9424,35.9120665,128.8062002,482513.904290384,3974212.76031653,0
9427,35.9120634,128.8061969,482513.605856706,3974212.41707637,0
9430,35.9120603,128.8061937,482513.316445779,3974212.07381833,0
9433,35.9120572,128.8061904,482513.018012054,3974211.7305782,0
9436,35.9120542,128.8061869,482512.701554764,3974211.3984652,0
9439,35.9120512,128.8061834,482512.38509745,3974211.06635221,0
9442,35.9120483,128.8061799,482512.068662119,3974210.74533055,0
9445,35.9120453,128.8061764,482511.752204758,3974210.41321759,0
9448,35.9120423,128.8061729,482511.435747375,3974210.08110463,0
9451,35.9120393,128.8061693,482511.110267187,3974209.7490096,0
9454,35.9120362,128.8061657,482510.784764971,3974209.40582325,0
9457,35.9120331,128.8061621,482510.459262725,3974209.06263692,0
9460,35.91203,128.8061585,482510.133760456,3974208.7194506,0
9463,35.9120272,128.8061547,482509.790278638,3974208.40957406,0
9466,35.9120246,128.8061507,482509.428795254,3974208.12191597,0
9469,35.9120222,128.806147,482509.094424207,3974207.85638683,0
9472,35.9120198,128.8061435,482508.778098697,3974207.59082188,0
9476,35.912017,128.8061392,482508.389502891,3974207.28103493,0
9480,35.9120142,128.806135,482508.009929835,3974206.97123008,0
9484,35.9120113,128.8061306,482507.612289181,3974206.65036974,0
9488,35.9120081,128.8061264,482507.23262802,3974206.29619966,0
9492,35.9120047,128.8061225,482506.879991142,3974205.91979322,0
9495,35.912002,128.8061194,482506.599690576,3974205.62088277,0
9498,35.9119992,128.8061163,482506.319367977,3974205.310881,0
9501,35.9119963,128.8061131,482506.030000564,3974204.98980584,0
9504,35.9119935,128.8061099,482505.740655143,3974204.679822,0
9508,35.9119902,128.8061062,482505.406085717,3974204.31447113,0
9513,35.9119873,128.8061023,482505.053558761,3974203.99352136,0
9520,35.9119846,128.8060988,482504.737166942,3974203.69468261,0
9529,35.9119819,128.8060954,482504.429797884,3974203.39582595,0
9534,35.9119794,128.8060922,482504.140518406,3974203.11911612,0
9538,35.9119768,128.8060889,482503.842194108,3974202.83133289,0
9543,35.9119739,128.8060851,482503.49868982,3974202.51036528,0
9548,35.9119712,128.8060816,482503.182297895,3974202.21152658,0
9554,35.9119684,128.806078,482502.856861146,3974201.90161449,0
9560,35.9119656,128.8060741,482502.50435602,3974201.59175614,0
9566,35.9119633,128.8060699,482502.124892609,3974201.33740814,0
9571,35.9119618,128.8060657,482501.745605338,3974201.17179071,0
9575,35.9119609,128.8060608,482501.303290674,3974201.0728466,0
9578,35.9119607,128.8060562,482500.888198507,3974201.051488,0
9581,35.9119613,128.8060511,482500.42816858,3974201.11894954,0
9584,35.9119628,128.8060459,482499.959314077,3974201.28625089,0
9587,35.9119652,128.8060408,482499.499680581,3974201.55335621,0
9590,35.9119678,128.8060356,482499.031068374,3974201.84266212,0
9593,35.9119703,128.8060306,482498.580479741,3974202.1208409,0
9596,35.9119726,128.8060259,482498.156915441,3974202.37678331,0
9599,35.9119749,128.8060216,482497.769442302,3974202.63265407,0
9602,35.9119772,128.8060178,482497.427083102,3974202.88843526,0
9605,35.9119795,128.8060139,482497.075701137,3974203.14423439,0
9608,35.9119819,128.8060101,482496.733364,3974203.41110693,0
9611,35.9119842,128.8060062,482496.381982078,3974203.66690608,0
9614,35.9119865,128.8060024,482496.039622959,3974203.92268733,0
9617,35.9119889,128.8059987,482495.706308671,3974204.18954199,0
9620,35.9119911,128.805995,482495.372950343,3974204.43421402,0
9623,35.9119934,128.8059913,482495.039614064,3974204.68997739,0
9626,35.9119956,128.8059876,482494.706255773,3974204.93464945,0
9629,35.9119979,128.8059839,482494.372919534,3974205.19041284,0
9632,35.9120002,128.8059801,482494.030560532,3974205.44619417,0
9635,35.9120025,128.8059763,482493.688201547,3974205.70197551,0
9638,35.9120049,128.8059725,482493.345864615,3974205.96884818,0
9641,35.9120072,128.8059686,482492.994482893,3974206.22464747,0
9644,35.9120096,128.8059647,482492.643123223,3974206.49153809,0
9647,35.9120119,128.8059609,482492.300764322,3974206.74731949,0
9650,35.9120142,128.8059571,482491.958405438,3974207.0031009,0
9653,35.9120164,128.8059533,482491.616024543,3974207.247791,0
9656,35.9120186,128.8059496,482491.282666446,3974207.49246319,0
9659,35.9120209,128.8059459,482490.949330399,3974207.74822672,0
9662,35.9120232,128.8059421,482490.606971595,3974208.00400818,0
9665,35.9120254,128.8059383,482490.264590779,3974208.24869833,0
9668,35.9120277,128.8059346,482489.93125479,3974208.5044619,0
9671,35.9120299,128.8059307,482489.579851233,3974208.74917001,0
9674,35.9120322,128.8059269,482489.237492508,3974209.00495152,0
9677,35.9120345,128.8059231,482488.895133802,3974209.26073305,0
9680,35.9120367,128.8059193,482488.552753078,3974209.50542327,0
9683,35.9120389,128.8059155,482488.210372375,3974209.75011351,0
9686,35.9120412,128.8059117,482487.868013728,3974210.00589508,0
9689,35.9120434,128.805908,482487.534655837,3974210.25056741,0
9692,35.9120456,128.8059042,482487.192275191,3974210.49525769,0
9695,35.9120478,128.8059005,482486.858917342,3974210.73993005,0
9698,35.9120501,128.8058967,482486.516558773,3974210.99571167,0
9701,35.9120523,128.8058929,482486.174178182,3974211.24040199,0
9704,35.9120546,128.805889,482485.822796878,3974211.49620157,0
9707,35.9120568,128.805885,482485.462370777,3974211.74092777,0
9710,35.9120591,128.8058811,482485.110989513,3974211.99672738,0
9713,35.9120614,128.8058773,482484.768631044,3974212.25250907,0
9716,35.9120635,128.8058735,482484.426228508,3974212.48610814,0
9719,35.9120657,128.8058697,482484.083848035,3974212.73079854,0
9722,35.912068,128.8058658,482483.732466851,3974212.9865982,0
9725,35.9120703,128.8058617,482483.363040141,3974213.24243374,0
9728,35.9120727,128.8058575,482482.984612722,3974213.50937855,0
9731,35.9120751,128.8058532,482482.597162555,3974213.77634131,0
9734,35.9120774,128.8058491,482482.22773591,3974214.0321769,0
9738,35.9120799,128.8058448,482481.840307832,3974214.31023101,0
9746,35.912082,128.805841,482481.497905456,3974214.54383019,0
9752,35.9120842,128.805837,482481.137479601,3974214.78855657,0
9757,35.912087,128.805833,482480.777186045,3974215.09983088,0
9761,35.9120897,128.8058293,482480.443938778,3974215.39996008,0
9765,35.9120926,128.8058254,482480.092690089,3974215.72230781,0
9769,35.9120956,128.8058211,482479.705372393,3974216.05581861,0
9772,35.9120981,128.8058175,482479.381103871,3974216.33374728,0
9775,35.9121009,128.8058135,482479.020810441,3974216.64502166,0
9778,35.9121038,128.8058094,482478.651516313,3974216.96740532,0
9781,35.9121067,128.8058053,482478.282222215,3974217.28978899,0
9784,35.9121096,128.805801,482477.894882607,3974217.61220855,0
9787,35.9121126,128.8057968,482477.516587844,3974217.94570151,0
9790,35.9121155,128.8057926,482477.138271058,3974218.26810317,0
9793,35.9121182,128.8057887,482476.786978502,3974218.56826839,0
9796,35.9121209,128.8057847,482476.426663202,3974218.86845156,0
9799,35.9121236,128.8057808,482476.075370693,3974219.16861681,0
9802,35.9121263,128.8057769,482475.724078204,3974219.46878207,0
9805,35.9121289,128.805773,482475.372763691,3974219.75785603,0
9808,35.9121315,128.8057691,482475.0214492,3974220.04693,0
9811,35.9121341,128.8057652,482474.670134732,3974220.33600399,0
9812,35.912133,128.8057698,482475.084939367,3974220.2131742,0
9817,35.9121349,128.8057656,482474.706402229,3974220.42466278,0
9821,35.9121378,128.8057607,482474.264926297,3974220.74719015,0
9824,35.9121403,128.8057569,482473.922612589,3974221.0251549,0
9827,35.9121426,128.8057533,482473.598300324,3974221.28090115,0
9830,35.9121451,128.8057494,482473.246963896,3974221.55888387,0
9833,35.9121477,128.8057454,482472.886626783,3974221.84797588,0
9836,35.9121504,128.8057413,482472.517288984,3974222.14817715,0
9839,35.9121531,128.8057369,482472.12088292,3974222.44843228,0
9842,35.912156,128.8057325,482471.724521001,3974222.77087006,0
9845,35.9121592,128.8057279,482471.310179758,3974223.12661771,0
9848,35.9121621,128.8057233,482470.89577237,3974223.44909141,0
9851,35.9121652,128.8057189,482470.49945466,3974223.79371189,0
9854,35.9121679,128.8057149,482470.139139788,3974224.09389532,0
9857,35.9121705,128.8057111,482469.796848401,3974224.38295156,0
9860,35.9121731,128.8057077,482469.490648085,3974224.67193603,0
9863,35.9121756,128.8057044,482469.193448487,3974224.94981124,0
9866,35.9121781,128.805701,482468.887226147,3974225.22770441,0
9869,35.9121808,128.8056976,482468.58104795,3974225.52778022,0
9872,35.9121834,128.805694,482468.256802192,3974225.81680063,0
9875,35.9121863,128.8056905,482467.941645403,3974226.13907705,0
9878,35.9121892,128.805687,482467.626488636,3974226.46135349,0
9881,35.912192,128.8056836,482467.320332589,3974226.77252067,0
9884,35.9121946,128.8056802,482467.014132435,3974227.06150523,0
9887,35.9121972,128.8056771,482466.735000579,3974227.35043594,0
9891,35.9122004,128.8056728,482466.347728027,3974227.70612998,0
9895,35.9122035,128.8056683,482465.942387928,3974228.05076861,0
9899,35.9122066,128.8056638,482465.537047857,3974228.39540726,0
